original,disfluent,generated_text
 When did Temur die?,When did Kublai instead oh Temur die?, When did Temur die?
When did Western forces invade Iraq?,When did ISIL refuse to uh Western forces invade Iraq?, When did Western forces invade Iraq?
How many independent schools are in India?,How many financial aid no independent schools are in India?,How many independent schools are in India?
What group is set up to scrutinize private bills submitted to the Spanish Parliament?,What group is set up to issue developments oh no um to scrutinize private bills submitted to the Spanish Parliament?,What group is set up to scrutinize private bills submitted to the Spanish Parliament?
What accelerates NK cells?,Why are er what accelerates NK cells?,What accelerates NK cells?
What happened to the rate of flow in the Rhine during the Rhine straightening program?,What happened to the rate of flooding I mean flow in the Rhine during the Rhine straightening program?,What happened to the rate of flow in the Rhine during the Rine straightening program?
What is a connection identifier ,#VALUE!,What is the name of the Apple system? 
Who published the State of the Planet 2008-2009 report?,Who published the IPCC or no make that the State of the Planet 2008-2009 report?,Who published the State of the Planet 2008-2009 report?
What area was the Delta Works constructed between?,When was no dang it what area was the Delta Works constructed between?,What area was the Delta Works constructed between?
Kyoto Protocol dealt with which depletion?,Whose goals er uh Kyoto Protocol dealt with which depletion?,Kyoto Protocol dealt with which depletion?
What is another name for a deformational event?,"What type, or rather, what is another name for a deformational event?",What is another name for a deformational event?
What scientist experimented with snake venom in the 18th century?,Whose theories er what scientist experimented with snake venom in the 18th century?,What scientist experimented with snake venom in the 18th century?
What forces should serve as a brake on wealth concentration?,What concentrations or uh forces should serve as a brake on wealth concentration?,What forces should serve as a brake on wealth concentration?
What is not an example of a controlled substance?,What is an example of a controlled substance no no what is not an example?,What is not an example of a controlled substance?
What has the first timeline added to the timeline to expand it?,"Why is the, on um, what has the first timeline added to the timeline to expand it?",What has the first timeline added to the timeline to expand it?
Who is a player on the Tampa Bay Buccaneers?,Who is a coach oops I mean player on the Tampa Bay Buccaneers?,Who is a player on the Tampa Bay Buccaneers?
During what time frame were the core classes limited to only 15 students?,During what time frame limited to students no were the core classes limited to only 15 students?,During what time frame were the core classes limited to only 15 students?
How was Sadat rewarded by the Islamists for his attempts to bring Egypt into modern times and civilization?,How was Gaddafi wait no I meant Sadat rewarded by the Islamists for his attempts to bring Egypt into modern times and civilization?,How was Sadat rewarded by the Islamists for his attempts to bring Egypt into modern times and civilization?
Which group has a primary role scrutinizing witnesses?,Which government no group has a primary role scrutinizing witnesses?,Which group has a primary role scrutinizing witnesses?
How many were killed by plague in Italy in the 17th century?,How many were killed by Italy or uh shoot the plague in Italy in the 17th century?,How many were killed by plague in Italy in the 17th century?
What archdiocese is Warsaw the seat of?,Warsaw's Market Square is no no what archdiocese is Warsaw the seat of?,What archdiocese is Warsaw the seat of?
What do you get when you figure the sum of forces with vector addition?,What do you get when you figure the difference no no the  sum of forces with vector addition?,What do you get when you figure the sum of forces with vector addition?
What was extent of Celeron's expedition?,What was consisted no extent of Celeron's expedition?,What extent of Celeron's expedition?
French architect Enric Miralles helped design what building?,Spanish um no um sorry French architect Enric Miralles helped design what building?,French architect Enric Miralles helped design what building?
Who figured out that his law of gravity had to be universal?,Who figured out that his law of motion no I meant gravity had to be universal?,Who figured out that his law of gravity had to be universal?
What does the highest level of the Vistula dune contain?,"What type of, ack, what does the highest level of the Vistula dune contain?",What does the highest level of the Vistula dune contain?
Where is the Santa Fe Railroad Depot located?,Where is the San Joaquins uh shoot the Santa Fe Railroad Depot located?,Where is the Santa Fe Railroad Depot located?
What is the oldest exhibition site in Warsaw?,How many uhh what is the oldest exhibition site in Warsaw?,What is the oldest exhibition site in Warsaw?
 What type of movement is the non-Muslim Brotherhood?,Which or no rather what type of movement is the non-Muslim Brotherhood?,What type of movement is the non-Muslim Brotherhood?
How successful was the English revised efforts?,How successful was the French no the English revised efforts?,How successful was the English revised efforts?
What does the mesoglea terminate into?,What does the nutritive no the mesoglea terminate into?,What does the mesoglea terminate into?
There is a public database of epitopes for pathogens known to be recognizable by what cells?,What kind of amino acids really though cells are in a public database of epitopes for pathogens?,What kind of cells are in a public database of epitopes for pathogens?
Of what mathematical nature is the Basel problem?,Of what mathematical nature are primes no um sorry is the Basel problem?,Of what mathematical nature is the Basel problem?
At what venue did Benjamin Netanyahu give a speech recently?,At what venue did Pierre Trudeau no I mean Benjamin Netanyahu give a speech recently?,At what venue did Benjamin Netanyahu give a speech recently?
Where did two of Triton's daughters set out on a journey through?,Where was the legendary no where did two of Triton's daughters set out on a journey through?,Where did two of Triton's daughters set out on a journey through?
What did historians do in the absence of census figures?,What did researchers or rather historians do when they didn't have census information?,What did historians do when they didn't have census information?
What did Christianity in US curriculum focus on before it was changed?,What did Transcendentalist Unitarian no Christianity in US curriculum focus on before it was changed?,What did Christianity in US curriculum focus on before it was changed?
In what people is the immune system the strongest?,What do er in what people is the immune system the strongest?,In what people is the immune system the strongest?
How does the corporation deliver these messages?,How does the corporation the US Air Force was interested in what er deliver these messages?,How does the corporation deliver these messages?
What is ethnic community is traditionally found Downtown?,Which direction does the west side of Fresno um what is the ethnic community is traditionally found Downtown?,What ethnic community is traditionally found Downtown?
"In a progressive tax, what increases as the taxable base amount decreases?","In a progressive system oh I mean tax, what increases as the taxable base amount decreases?","In a progressive tax, what increases as the taxable base amount decreases?"
Who has the Islamic Liberation Party attempted to assassinate? ,When did or actually who has the Islamic Liberation Party attempted to assassinate?,Who has the Islamic Liberation Party attempted to assassinate?
Why is the most recent era expanded in the first scale?,Why is the most timelines no the most recent era expanded in the first scale?,Why is the most recent era expanded in the first scale?
What was the result of the 1967 referendum?,What was the result of the 2000 or uh the 1967 referendum?,What was the result of the 1967 referendum?
How much area does the University Library cover?,Where does or actually make that how much area does the University Library cover?,How much area does the University Library cover?
"Following the Liberal victory in 2015, standing orders were changed to do what?","Following the Liberal victory in 2015, domestic legislation no um standing orders were changed to do what?","Following the Liberal victory in 2015, standing orders were changed to do what?"
Of what form is the infinite amount of positives that comprise the special cases of Schinzel's hypothesis?,Of what form is the infinite amount of positives that comprise the special cases of Cramer's or no make that of Schnizel's hypothesis?,Of what form is the infinite amount of positives that comprise the special cases of Schnizel's hypothesis?
Of what form do Mersenne primes take?,Of what shape or umm form do Mersenne primes take?,Of what form do Mersenne primes take?
"When economic inequality is larger, more waste and pollution is?","What does er when economic inequality is larger, more waste and pollution is?","When economic inequality is larger, more waste and pollution is?"
When is the correlation occasionally positive?,What is the principle or uh when is the correlation occasionally positive?,When is the correlation occasionally positive?
When did Khan disestablish the Great Yuan?,When did Khan establish the Great Yuan no no sorry when did he disestablish it?, When did Khan disestablish the Great Yuan?
What did the Court of the Massachusetts Bay Colony vote for John Harvard to have in 1650?,What did the Court of the Massachusetts Bay Colony vote for John Harvard to have in 1636 no rather 1650?,What did the Court of the Massachusetts Bay Colony vote for John Harvard to have in 1650?
What name is typically associated with preschool?,What name is typically associated with private parties no preschool?,What name is typically associated with preschool?
What is the conventional measurement of the Rhine? ,"When was the uh actually, what is the conventional measurement of the Rhine?",What is the conventional measurement of the Rhine?
What did denial of service attacks make it harder for The Plowshares organization to do?,What did organization temporarily wait no denial of service attacks make it harder for The Plowshares organization to do?,What did denial of service attacks make it harder for The Plowshares organization to do?
What was the largest urban fire in the United States?,What was the largest urban fire in Jacksonville or no make that in the United States?,What was the largest urban fire in the United States?
Who presents different ideas about how to accomplish goals?,What does or like what I want to know is who presents different ideas about how to accomplish goals?,Who presents different ideas about how to accomplish goals?
What do Beriods use as teeth?,What do Beriods use as tentilla uh yeah no teeth?,What do Beriods use as teeth?
What Han Chinese leader defected to the Mongols?,Which no What Han Chinese leader defected to the Mongols?,What Han Chinese leader defected to the Mongols?
In what year did William Maclure begin the process of creating the first geological map of the U.S.?,In what year was the first no which year did William Maclure begin the process of creating the first geological map of the U.S.?,In what year did William Maclure begin the process of creating the first geological map of the U.S.?
How wide is the second east-west shipping route?,How wide is the Rhine in Germany or rather how wide is the second east-west shipping route?,How wide is the second east-west shipping route?
Why did the demand for rentals increase?,Where did no rather why did the demand for rentals increase?,Why did the demand for rentals increase?
Who wasn't Al-Banna's assassination a retaliation for the prior assassination of?,"When was, wait sorry, who wasn't Al-Banna's assassination a retaliation for the prior assassination of?", Who wasn't Al-Banna's assassination a retaliation for the prior assassination of?
What type of Delta is the Rhine-Meuse?,What produces um no what type of Delta is the Rhine-Meuse?,What type of Delta is the Rhine-Meuse?
How many lakes are there in Warsaw?,How many natural or rather the number of lakes in Warsaw?,How many lakes are in Warsaw?
When did Germanic tribes cross the Rhine to migrate?,When did the kingdoms of Francia on the Lower Rhine or actually just the Germanic tribes cross the Rhine to migrate?,When did the Germanic tribes cross the Rhine to migrate?
"Who acts as laborer, paymaster, and design team for a renovation project?","What do or like who acts as laborer, paymaster, and design team for a renovation project?","Who acts as laborer, paymaster, and design team for a renovation project?"
Who is the final judge of right and wrong?,"What person, rather, who is the final judge of right and wrong?",Who is the final judge of right and wrong?
What was the name of the battle that marked the first Confederate win in Florida?,Who was or rather what was the name of the battle that marked the first Confederate win in Florida?,What was the name of the battle that marked the first Confederate win in Florida?
Who is the Bungie founder and developer of the dance video game?,Who video game I mean is the Bungie founder and developer of the dance video game?,Who is the Bungie founder and developer of the dance video game?
In what year did the Black Death spread into England?,In what year was J.I. Pontanus born no sorry in what year did the Black Death spread into England?,In what year did the Black Death spread into England?
 What law did not justify British imperialism?,Imperialism is no What law did not justify British imperialism?, What law did not justify British imperialism?
How successful was the French revised efforts?,What naval er how successful was the French revised efforts?,How successful was the French revised efforts?
What do Germans call private schools?,What do Western Europe uh more specifically Germans call private schools?,What do Germans call private schools?
What is the name of the Pulitzer Prize novelist who was also a university alumni? ,What is the name of the alumni no Pulitzer Prize novelist who was also a university alumni?,What is the name of the Pulitzer Prize novelist who was also a university alumni?
 What did Iqbal's Allahabad address not inspire?,What did Iqbal's Allahabad address inspire or rather what did it not inspire?, What did Iqbal's Allahabad address not inspire?
"In extended fluids, similarities in pressure result in forces being directed where?",What does not have extended structure no change that to where are forces directed as a result of similarities in pressure in extended fluids?,Where are forces directed as a result of similarities in pressure in extended fluids?
The Hochrhein more than doubles the Rhine's water discharge to what amount?,Where does instead the Hochrhein more than doubles the Rhine's water discharge to what amount?,The Hochrhein more than doubles the Rhine's water discharge to what amount?
Who was the British explorer chartered the St. John's River?,Who was the French explorer chartered the St. John's River no English explorer?,Who was the English explorer chartered the St. John's River?
What illustrates the relationships between rock and crystal?,What illustrates the relationships between metamorphism no rock and crystal?,What illustrates the relationships between rock and crystal?
What type of person would be involved in a test case in federal court?,What type of person would be involved in a civil I mean test case in federal court?,What type of person would be involved in a test case in federal court?
What is a kind of defense response that makes the entire plant resistant to a particular agent?,Where is no make that what is a kind of defense response that makes the entire planet resistant to a particular agent?,What is a kind of defense response that makes the entire planet resistant to a particular agent?
What is the logic behind the cicadas outbreak?,"Where do cicadas, no let me ask, what is the logic behind the cicadas outbreak?",What is the logic behind the cicadas outbreak?
What American actor is also a university graduate?,What American founder is also a university graduate no what actor?,What American actor is also a university graduate?
Who added to Dioscorides' book in the Islamic Golden Age?,When did or no make that who added to Dioscordies' book in the Islamic Golden Age?,Who added to Dioscordies' book in the Islamic Golden Age?
What equals the spring reaction force on an object suspended on a spring reaction scale? ,What can spring oh no what equals the spring reaction force on an object suspended on a spring reaction scale?,What equals the spring reaction force on an object suspended on a spring reaction scale?
What is the name of the CBS affiliate in Fresno?,What is the name of the CBS infiltrate in Fresno oops that's CBS affiliate in Fresno?,What is the name of the CBS affiliate in Fresno?
How might gravity effects be observed differently according to Newton?,How might gravity determine no effects being observed differently according to Newton?,How might gravity effects be observed differently according to Newton?
This causes the rock unit as a whole to become longer and thinner. ,This causes sediment to become longer and thinner or rather rock units as a whole to become longer and thinner.,This causes rock units as a whole to become longer and thinner.
Where did British kill many Acadians?,"Where did France, sorry it was the British, kill many Acadians?",Where did British kill many Acadians?
Who leads the Student Government?,Who leads the Model UN or no make that the Student Government?,Who leads the Student Government?
Under which policy are labor unions discouraged?,Which set er under which policy are labor unions discouraged?,Under which policy are labor unions discouraged?
What is it called when people in society rebel against laws they think are unfair?,when people in society rebel against laws they think are unfair it is called what?,When people in society rebel against laws they think are unfair it is called what?
There were many Mongols with what unexpected status?,There were many Semu er Mongols with what unexpected status?,There were many Mongols with what unexpected status?
What force acts on an object suspended on a spring scale in addition to gravity?,What force acts on a device no um an object suspended on a spring scale in addition to gravity?,What force acts on an object suspended on a spring scale in addition to gravity?
Where is Samuel Marsden Collegiate School located?,What denomination is the Diocesan where is Samuel Marsden Collegiate School located?,Where is Samuel Marsden Collegiate School located?
Vice President Agnew describes Civil disobedience in what activities?,Vice President Cohen or rather Agnew describes Civil disobedience in what activities?,Vice President Agnew describes Civil disobedience in what activities?
The House of Lords introduced qualifications for which position?,The House of Lords must uh or better introduced qualifications for which position?,The House of Lords introduced qualifications for which position?
What is one thing that market segments publish?,Which or no make that what is one thing that market segments publish?,What is one thing that market segments publish?
What compounds can be masked with the molecules of the host cell in order for a virus to evade detection?,"What compounds can be masked with the molecules of the host cell in order for amino acids to evade detection, uh actually for a virus to evade detection?",What compounds can be masked with the molecules of the host cell to evade detection?
What to do university students find the dated sixteenth century?,When or what to do university students find the dated sixteenth century?,What do university students find the dated sixteenth century?
Where are the least amount of the factories found?,Where are the least amount of the water pollution no the least amount of factories found?,Where are the least amount of the factories found?
When have humans started impacting the delta?,What centuries uhh when have humans started impacting the delta?,When have humans started impacting the delta?
What test is especially useful for tests of the form 2p-1?,Whose test no which one is especially useful for tests of the form 2p-1?,Which test is especially useful for tests of the form 2p-1?
Some people describe what between individuals or groups as non-imperialism or non-colonialism?,Some people describe which or no make that what between individuals or groups as non-imperialism or non-colonialism?,Some people describe what between individuals or groups as non-imperialism or non-colonialism?
nequality in the presence of credit market perfections has what kind of effect on human capital formation?,When did Galor  i mean nequality in the presence of credit market perfections has what kind of effect on human capital formation?,nequality in the presence of credit market perfections has what kind of effect on human capital formation?
How would the geographical societies in Europe support certain travelers?,How would the geographical societies in Europe reject certain travelers no sorry how would they support those travelers?,How would the geographical societies in Europe support certain travelers?
What kind of sediment particles are there?,What kind of species err rather sediment  particles are there?,What kind of particles are there?
The transportation law allows personal aircraft to share the roadways with what?,When did the uh actually no who did the transportation law allow personal aircraft to share the roadways with?,Who did the transportation law allow personal aircraft to share the roadways with?
Who influenced the Taliban's ideology?,What did or uh who influenced the Taliban's ideology?,Who influenced the Taliban's ideology?
What increases with the increase of income inequality?,What increases Survival  no sorry what increases with the increase of income inequality?,What increases with the increase of income inequality?
When do cash flow problems exist?,When is it that a financial issue occurs I mean cash mean flow issues?,When is it that cash flow issues occur?
How did the Camden 28 decide to submit themselves to the court after pleading guilty?,How did the Camden 28 decide to use solidarity tactics to secure no no decide to submit themselves to the court after pleading guilty?,How did the Camden 28 decide to submit themselves to the court after pleading guilty?
What are the two principal Asian-American groups living in the west side neighborhood of Fresno?,The west  whoops What are the two principal Asian-American groups living in the west side neighborhood of Fresno?,What are the two principal Asian-American groups living in the west side neighborhood of Fresno?
What is the weakest main interaction?,What is the strongest no no the weakest main interaction?,What is the weakest main interaction?
Aristotle believed that objects in motion on Earth would stay that way if what?,"Aristotle believed that elements, sorry, objects in motion on Earth would stay that way if what?",Aristotle believed that objects in motion on Earth would stay that way if what?
What can any number larger than 6 can be represented as?,Which or no make that what can any number larger than 6 be represented as?,What can any number larger than 6 can be represented as?
What were casualties of battle?,Who was no what were casualties of battle?,What were casualties of battle?
Which khanates had converted to Islam?,#VALUE!,What is the name of the Apple system? 
What has had a negative impact on the labor markets in the US?,What has had a negative impact on organized labor or wait make that on the labor markets in the US?,What has had a negative impact on labor markets in the US?
When was Garrison born?,Where was or no make  that when was Garrison born?,When was Garrison born?
What is the largest main branch of the Rhine?,"What is the largest main branch of the Pannerdens Kanaal, sorry that should be the Rhine?",What is the largest main branch of the Rhine?
What fields may pharmacy informatics also work in?,What two things no What fields may pharmacy informatics also work in?,What fields may pharmacy informatics also work in?
Why has Bloc seen many improvements over the past decade?,What suffered considerably for Warsaw oh rather why has Bloc seen many improvements over the past decade?,Why has Bloc seen many improvements over the past decade?
What has crime rate been shown not to be correlated with in a society?,How has or no rather what has crime rate been shown not to be correlated with in a society?,What has crime rate been shown not to be correlated with in a society?
What is the name of Harvard's primary recreational sports facility?,What is the Lavietes pavilion at Harvard I mean what is the name of Harvard's primary recreational sports facility?,What is the name of Harvard's primary recreational sports facility?
 When was earthenware movable type destroyed?,When was Taoist movable type destroyed no earthenware?,When was earthenware movable type destroyed?
What military branch does much of Jacksonville's Arab population have ties to?,"What military branch does much of Jacksonville's  Filipino population have ties to, I mean it's Arab population?",What military branch does much of Jacksonville's Arab population have ties to?
From the perspective of whom in the car is the vehicle and everything inside of it at rest?,"What doesn't, or rather, from the perspective of whom in the car is the vehicle and everything inside of it at rest?",From the perspective of whom in the car is the vehicle and everything inside of it at rest?
What was Leon's first literary cabaret?,What was Schiller's or no make that Leon's first literary cabaret?,What was Leon's first literary cabaret?
Whose activities were the French able to lose knowledge of?,What difficulties or rather whose activities were the French able to lose knowledge of?,Whose activities were the French able to lose knowledge of?
What Shakespeare scholar is currently on the university's faculty?,"Who is the current, oh no, what Shakespeare scholar is currently on the university's faculty?",What Shakespeare scholar is currently on the university's faculty?
The US Government can refer the bill to whom?,The US Government can submit er better refer the bill to whom?,The US Government can refer the bill to whom?
What tracts does commensal flora help pathogens thrive in?,What tracts does bacterial gastroenteritis no commensal flora help pathogens thrive in?,What tracts does commensal flora help pathogens thrive in?
What kind of sleep was discovered at the U of C in 1947?,What kind of sleep was discovered at the U of C in 1953 no 1947?,What kind of sleep was discovered at the U of C in 1947?
An MSP may introduce a bill as what?,An MSP may introduce a bill as the Scottish Government or amend existing law as no aswhat?,An MSP may introduce a bill as what?
Who lost money?,Who won no wait Who lost money?,Who lost money?
In which county does Jacksonville reside?,In which county does Duval I mean Jacksonville reside?,In which county does Jacksonville reside?
 How did the Yuan come to have the 8 schools of medicine?,"How did the Jin dynasty come to have the 8 schools of medicine, no actually how did the Yuan have the schools?", How did the Yuan come to have the 8 schools of medicine?
What types of pharmacy functions have begun to be outsourced?,What types of hospital functions or no make that pharmacy functions have begin to be outsourced?,What types of pharmacy functions have begun to be outsourced?
What are fossil sequences applied to?,Which are or rather what are fossil sequences applied to?,What are fossil sequences applied to?
Who was one of the most famous people born in Wola?,What was er who was one of the most famous people born in Wola?,Who was one of the most famous people born in Wola?
Phagocytosis first evolved as means of doing what?,When did Phagocytosis I mean what were they used for when they first evolved?,What were Phagocytosis first evolved?
What does following the rules help to preserve with a protest?,What does being a Conservative do no what does following the rules help to preserve with a protest?,Following the rules helps to preserve with a protest?
When did Germany invade Poland and in doing so start World War I?,How I mean when did Germany invade Poland and in doing so start World War I?,When did Germany invade Poland and in doing so start World War I?
 When weren't Joseph Schumpeter and Norman Angell at their most prolific writing period?,When weren't J.A. Hobson no Joseph Schumpeter and Norman Angell at their most prolific writing period?,When weren't Joseph Schumpeter and Norman Angell at their most prolific writing period?
What kingdom annexed Duchy in 1796?,What kingdom annexed Warsaw the capital of the Polish-Lithuanian Commonwealth er make that Duchy in 1796?,What kingdom annexed Duchy in 1796?
What is St. John's Castle the most interesting example of?,What is St. John's Castle represented no um sorry the most interesting example of?,What is St. John's Castle the most interesting example of?
What is the jelly-like susbtance called?,Which group no what is the jelly-like substance called?,What is the jelly-like substance called?
What can faith groups ask the Presiding Officer to do for them?,How long er what can faith groups ask the Presiding Officer to do for them?,What can faith groups ask the Presiding Officer to do for them?
When was the measurement of the Rhine introduced? ,When was the scale to weigh the Rhine introduced shoot when was the measurement of the Rhine introduced?,When was the measurement of the Rhine introduced?
"What did Ibn Sina, who lived from 1031-1095 base his hypothesis for land formation on?","What did Ibn Sina, who lived from 1031-1095 base his hypothesis for construction, no wait, land formation on?",What did Ibn Sina base his hypothesis for land formation on?
How many bodies of water makes up Lake Constance? ,How many bodies of water make up the Rhine oops Lake Constance?,How many bodies of water make up Lake Constance?
What river is considered to be not so clean nowadays?,"What sea port is considered to be not so clean nowadays, oh I mean what river isn't anymore?",What river is considered to be not so clean nowadays?
What did some of the Islamist groups supported by the West later become to be seen as?,What did the non-Afghan veterans returning home have in addition to their prestige no sorry what were Islamist groups formerly supported by the West come to be seen as?, What were Islamist groups formerly supported by the West come to be seen as?
How many factors of health and social problems did Wilkinson and PIckett not identify?,How many states no the factors of health and social problems did Wilkinson and Pickett not identify?,How many factors of health and social problems did Wilkinson and Pickett not identify?
If 15 were to be considered as prime what would the sieve of Eratosthenes yield for all other numbers?,"If 15 were to be considered as prime what would the sieve of Euclid sorry, rather Eratosthenes yield for all other numbers?",If 15 were to be considered as prime what would the sieve of Eratosthenes yield for all other numbers?
Are sheaths wider or narrower in size near the mouth?,Are tentacles or no make that sheaths wider or narrower in size near the mouth?,Are sheaths wider or narrower in size near the mouth?
What lab does the university have a joint stake in? ,Which lab or no rather what lab does the university have a joint stake in?,What lab does the university have a joint stake in?
 What did the Islamic State proclaim itself in 2015?,"What did the Islamic State proclaim itself in 2014, make that 2015?", What did the Islamic State proclaim itself in 2015?
What can the growth elasticity of poverty not depend on?,How can the or no rather what can the growth elasticity of poverty not depend on?,What can the growth elasticity of poverty not depend on?
How many missles were at the nuclear test site?,The result of the disobedience protesting the nuclear site was How many missles were at the nuclear test site?,How many missles were at the nuclear test site?
The Taliban was so different from other moments that they could be more accurately described as being what?,"The Taliban was so different from other countries er uh forgive me, moments that they could be more accurately described as being what?",The Taliban was so different from other moments that they could be more accurately described as being what?
How long were the fighters of the German Ghetto Uprising able to hold out?,How long were the fighters of the Poland sorry German Ghetto Uprising able to hold out?,How long were the fighters of the German Ghetto Uprising able to hold out?
How many hundred of years was Scotland directly governed by the parliament of Great Britain?,How did the commission promote Scottish self-governance no change that to how many hundred of years was Scotland directly governed by the parliament of Great Britain?,How many hundred of years was Scotland directly governed by the parliament of Great Britain?
The Second World War caused what to be shelved?,What was no The Second World War caused what to be shelved?,The Second World War caused what to be shelved?
The Kronenberg Palace had been an exceptional example of what type of architecture?,The Warsaw Philharmony edifice umm rather the Kronenberg Palace had been an exceptional example of what type of architecture?,The Kronenberg Palace had been an exceptional example of what type of architecture?
When was the University Library founded?,"How, sorry, when was the University Library founded?",When was the University Library founded?
When was a study conducted of Swedish counties?,When was economist no a study conducted of Swedish counties?,When was a study conducted of Swedish counties?
Who is elected at the beginning of each term?,"Who makes, no let me ask, who is elected at the beginning of each term?",Who is elected at the beginning of each term?
In what century did the North Sea discharge into the Nederrijn river?,In what century did branches Waal and Nederrijn-Lek um the North Sea discharge into the Nederrijn river?,In what century did the North Sea discharge into the Nederrijn river?
What is the name of another type of prime here p+1 or p-1 takes a certain shape?,What is the name of another type of test I mean prime here p+1 or p-1 takes a certain shape?,Packet here p+1 or p-1 takes a certain shape?
Where does manufacturing take place?,When does Where does manufacturing take place?,Where does manufacturing take place?
What body would determine that funding for course content is forbidden?,What schools er body would determine that funding for course content is forbidden?,What body would determine that funding for course content is forbidden?
"What can and old, ill man not do?","What can an old, ill man do or rather not do?","What can an old, ill man not do?"
What is the name given to the university's main library?,"In what year, actually, what is the name given to the university's main library?",What is the name given to the university's main library?
What was one of the cities that had a port on the Black Sea?,What was one of the countries no the cities that had a port on the Black Sea?,What was one of the cities that had a port on the Black Sea?
Where was French withdrawal to?,Where was the British or instead the French withdrawal to?,Where was French withdrawal to?
What are found in fossils?,What helps or rather what are found in fossils?,What are found in fossils?
When did the Iranian government not get a resurgence?,Who stated er when did the Iranian government not get a resurgence?,When did the Iranian government not get a resurgence?
Who are elected using an open ballot?,What type er who are elected using an open ballot?,Who are elected using an open ballot?
What does sleep have no effect on?,How does sleep I mean what does sleep have no effect on?,Sleep has no effect on what?
Where does the North Sea discharge into?,Where does the Rotterdam no the North Sea discharge into?,Where does the North Sea discharge into?
How much larger would cicada predator populations be if cicada outbreaks occurred at 14 and 15 year intervals?,How do cicada predator populations grow I mean how much larger would they be if cicada outbreaks occurred at 14 and 15 year intervals?,How much larger would predator populations be if cicada outbreaks occurred at 14 and 15 year intervals?
When was the first Sino-Japanese War?,When was the second umm rather first Sino-Japanese War?,When was the first Sino-Japanese War?
What were the national elections in 1994 canceled by?,What were the national elections in 1990 hold on 1994 canceled by?,What were the national elections in 1994 canceled by?
Was was the plan for Langlades mission?,How was or no rather what was the plan for Langlades mission?,What was the plan for Langlades mission?
Who accepts the notion of the Kuznets curve hypothesis?,What no no who accepts the notion of the Kuznets curve hypothesis?,Who accepts the notion of the Kuznets curve hypothesis?
Who did the Ottoman empire ally with in WW I?,Who did Germany or make that the Ottoman empire ally with in WW I?, Who did the Ottoman empire ally with in WW I?
Who refused to endorse the IPCC?,Who refused to endorse the UNEP  uh IPCC?,Who refused to endorse the IPCC?
Invertebrates do not generate what type of cells that are a part of the vertebrate adaptive immune system?,Invertebrates do not generate what type of lymphocytes uh er cells that are a part of the vertebrate adaptive immune system?,Invertebrates do not generate what type of cells that are a part of the vertebrate adaptive immune system?
What does the world's first Museum of Posters have one of the largest collections of in the world?,The world's first Museum of Posters have prestigious no one of the largest collections of in the world of what?,The world's first Museum of Posters have one of the largest collections of in the world?
When was the military-political complex reflected upon within the scope of understanding imperialism?,When was the debated no the military-political complex reflected upon within the scope of understanding imperialism?,When was the military-political complex reflected upon within the scope of understanding imperialism?
When wasn't the French and Indian War?,When was no no um wasn't the French and Indian War?,When wasn't the French and Indian War?
What does the Beroe eat? ,What does Mnemiopsis er the Beroe eat?,What does the Beroe eat?
When did France take control of London?,When did France take control of Algeria I mean London?,When did France take control of London?
Who was the chairman of the House Committee on Energy and Commerce?,"Who was the chairman of the U.S. National Academy of Sciences, no sorry the House Committee on Energy and Commerce chairman?",Who was the chairman of the House Committee on Energy and Commerce?
Who has the task of ensuring party members vote according to the party line?,Who has the instructions of ensuring party members vote according to the party line no the task?,Who has the task of ensuring party members vote according to the party line?
Why do the island archipelagos comprise a smaller number of electors?,"Why do the island archipelagos comprise a smaller number of constituencies, no electors?",Why do the island archipelagos comprise a smaller number of electors?
What does the statocyst split to connect with?,"How many, no let me ask, what does the statocyst split to connect with?",What does the statocyst split to connect with?
What is the name of the co-ed community service fraternity?,How is or no rather what is the name of the co-ed community service fraternity?,What is the name of the co-ed community service fraternity?
What is the term for an Indian private school?,What body in India provides policy directions to schools no no just tell me what is the term for an Indian private school?,What is the term for an Indian private school?
"If q=9 and a=3, 6 or 9, how many wraps would be in the progression?","If q=9 and a=3, 6 or 9, how many primes would be in the progression or rather how many wraps would be in the progression?","If q=9 and a=3, 6 or 9, how many wraps would be in the progression?"
 How many successors of Kublai was Toghun the first of?,"How many successors of Kublai was Toghun the ninth of, no was he the first of?",How many successors of Kublai was Toghun the first of?
What must Sophocles do instead of following the king's will?,"What must Oedipus no no disregard, what must Sophocles do instead of following the king's will?",What must Sophocles do instead of following the king's will?
When did the Last Glacial Maximum peak?,When was the beginning of the Pleistocene no sorry tell me when the Last Glacial Maximum peaked?,When did the Last Glacial Maximum peak?
What year was the first class taught at the University of Chicago?,When was the first class taught at the University of Texas no sorry Chicago?,When was the first class taught at the University of Chicago?
Complex devices such as weighing scales are used when measuring what?,Complex devices they umm for things such as weighing scales are used when measuring what?,Complex devices such as weighing scales are used when measuring what?
What are the bodies of cilia also called?,What are the bodies of ctenophores no cilia also called?,What are cilia also called?
What debate is a debate on a motion proposed by an MSP who is not a Scottish minister?,Which debate What debate is a debate on a motion proposed by an MSP who is not a Scottish minister?,What debate is a debate on a motion proposed by an MSP who is not a Scottish minister?
What were the native inhabitants of Australia called?,What people no sorry tell me what were the native inhabitants of Australia called?,What were the native inhabitants of Australia called?
What is the United States at risk for because of the recession of 2000?,What is the United States at risk for because of the recession of 2008-2009 no the recession of 2000?,What is the United States at risk for because of the recession of 2000?
